"query_id","subject_id","percent_identity","alignment_length","mismatches","gap_opens","q_start","q_end","s_start","s_end","evalue","bit_score","file"
"F11G_B01_013","AM396449.1",87.826,115,11,3,55,166,64,178,8.76e-35,132,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM396449.1",93.023,43,3,0,266,308,132,174,3.24e-14,63.9,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM396448.1",87.826,115,11,3,55,166,64,178,8.76e-35,132,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM396448.1",93.023,43,3,0,266,308,132,174,3.24e-14,63.9,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM396447.1",87.826,115,11,3,55,166,64,178,8.76e-35,132,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM396447.1",93.023,43,3,0,266,308,132,174,3.24e-14,63.9,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM902935.1",88.889,45,2,3,268,312,200,241,7.02e-11,52.8,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM902929.1",88.889,45,2,3,268,312,173,214,7.02e-11,52.8,"F11G_B01_013_blast.txt"
"F11G_B01_013","AM902926.1",88.889,45,2,3,268,312,173,214,7.02e-11,52.8,"F11G_B01_013_blast.txt"
"F11O_D01_009","AM396449.1",88.889,135,13,1,43,177,42,174,6.79e-45,165,"F11O_D01_009_blast.txt"
"F11O_D01_009","AM396448.1",88.889,135,13,1,43,177,42,174,6.79e-45,165,"F11O_D01_009_blast.txt"
"F11O_D01_009","AM396447.1",88.889,135,13,1,43,177,42,174,6.79e-45,165,"F11O_D01_009_blast.txt"
"F11O_D01_009","AM902935.1",100,30,0,0,212,241,212,241,4.26e-12,56.5,"F11O_D01_009_blast.txt"
"F11O_D01_009","AM902929.1",100,30,0,0,212,241,185,214,4.26e-12,56.5,"F11O_D01_009_blast.txt"
"F11O_D01_009","AM902926.1",100,30,0,0,212,241,185,214,4.26e-12,56.5,"F11O_D01_009_blast.txt"
"F12GI_C10_076","AM396449.1",88.742,151,10,6,29,178,31,175,1.11e-48,178,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM396449.1",92.857,42,3,0,266,307,133,174,1.17e-13,62.1,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM396448.1",88.742,151,10,6,29,178,31,175,1.11e-48,178,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM396448.1",92.857,42,3,0,266,307,133,174,1.17e-13,62.1,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM396447.1",88.742,151,10,6,29,178,31,175,1.11e-48,178,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM396447.1",92.857,42,3,0,266,307,133,174,1.17e-13,62.1,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM902935.1",83.077,65,4,7,249,311,182,241,7.02e-11,52.8,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM902929.1",83.077,65,4,7,249,311,155,214,7.02e-11,52.8,"F12GI_C10_076_blast.txt"
"F12GI_C10_076","AM902926.1",83.077,65,4,7,249,311,155,214,7.02e-11,52.8,"F12GI_C10_076_blast.txt"
"F12O_D10_074","AM396449.1",92.857,42,3,0,262,303,133,174,1.16e-13,62.1,"F12O_D10_074_blast.txt"
"F12O_D10_074","AM396448.1",92.857,42,3,0,262,303,133,174,1.16e-13,62.1,"F12O_D10_074_blast.txt"
"F12O_D10_074","AM396447.1",92.857,42,3,0,262,303,133,174,1.16e-13,62.1,"F12O_D10_074_blast.txt"
"F12O_D10_074","AM902935.1",83.077,65,4,7,245,307,182,241,6.97e-11,52.8,"F12O_D10_074_blast.txt"
"F12O_D10_074","AM902929.1",83.077,65,4,7,245,307,155,214,6.97e-11,52.8,"F12O_D10_074_blast.txt"
"F12O_D10_074","AM902926.1",83.077,65,4,7,245,307,155,214,6.97e-11,52.8,"F12O_D10_074_blast.txt"
"F13G_F10_070","AM396449.1",91.667,96,8,0,97,192,83,178,2.63e-35,134,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM396449.1",93.023,43,3,0,291,333,132,174,3.5e-14,63.9,"F13G_F10_070_blast.txt"
